,precision,recall,f1_score,precision_at_10_percent,precision_at_30_percent,precision_at_50_percent,precision_at_70_percent,precision_at_90_percent,recall_at_sizeof_ground_truth
alite-bert-base-uncased-l2,0.6666666666666666,0.36363636363636365,0.4705882352941177,0.5,0.5,0.6666666666666666,0.5555555555555556,0.6363636363636364,0.36363636363636365
all-mpnet-base-v2-coltotext-colname-col-shuffle-0.2-epochs-10-bs-16-lr-2e-05-wd-0.01-warmup-None,0.7692307692307693,0.9090909090909091,0.8333333333333333,1.0,0.4888888888888889,0.2972972972972973,0.21359223300970873,0.16541353383458646,0.9090909090909091
coma_schema,0.7272727272727273,0.7272727272727273,0.7272727272727273,1.0,1.0,1.0,0.875,0.8,0.7272727272727273
coma_schema_instance,0.64,0.7272727272727273,0.6808510638297872,1.0,1.0,1.0,0.8888888888888888,0.6956521739130435,0.7272727272727273
cupid,0.7368421052631579,0.6363636363636364,0.6829268292682926,1.0,0.9090909090909091,0.5882352941176471,0.5416666666666666,0.5483870967741935,0.5454545454545454
distribution_based,1.0,0.36363636363636365,0.5333333333333333,1.0,1.0,1.0,1.0,1.0,0.36363636363636365
jaccard,0.7777777777777778,0.6363636363636364,0.7000000000000001,1.0,1.0,0.7272727272727273,0.625,0.6,0.6363636363636364
similarity_flooding,0.5384615384615384,0.6363636363636364,0.5833333333333334,0.8666666666666667,0.3333333333333333,0.21621621621621623,0.19230769230769232,0.16417910447761194,0.6363636363636364
starmie-model_drop_nan_col_random_row_0-ft,0.8076923076923077,0.9545454545454546,0.875,0.8666666666666667,0.4,0.2972972972972973,0.21359223300970873,0.16541353383458646,0.6363636363636364
starmie-model_shuffle_col_random_column_0,0.8076923076923077,0.9545454545454546,0.875,1.0,0.5641025641025641,0.3384615384615385,0.24175824175824176,0.18803418803418803,0.8181818181818182
valentwin-cosmetics-n-100-hn-10-selective-neg-lr-3e5-bs-512-emd-cnw-00-cos,0.8461538461538461,1.0,0.9166666666666666,1.0,0.4888888888888889,0.2972972972972973,0.21359223300970873,0.16541353383458646,0.9545454545454546
