,table_a,column_a,table_b,column_b,similarity,type,correct
0,amazon_1,Description,sephora_1,Description,0.841009259223938,textual,True
1,amazon_1,ID,sephora_1,Product_id,0.8034093976020813,textual,True
2,sephora_1,Product_id,sephora_2,_id,0.8001540899276733,numerical,True
3,sephora_2,_id,ulta_1,_id,0.7995399832725525,numerical,True
4,amazon_1,Price,sephora_1,Price,0.7854099869728088,mixed,True
5,sephora_1,Product_id,ulta_1,_id,0.7819467186927795,numerical,True
6,amazon_1,ID,ulta_1,_id,0.7654713988304138,textual,True
7,amazon_1,ID,sephora_2,_id,0.7504521012306213,textual,True
8,sephora_2,rating,ulta_1,rating,0.6198030710220337,textual,True
9,sephora_1,Price,ulta_1,price,0.6191749572753906,mixed,True
10,sephora_2,price,ulta_1,price,0.5686861872673035,mixed,True
11,sephora_1,Price,sephora_2,price,0.5422554016113281,mixed,True
12,amazon_1,Price,ulta_1,price,0.5267314910888672,mixed,True
13,sephora_1,Color,sephora_2,number of colors,0.481554627418518,textual,False
14,sephora_2,rating,ulta_1,number of colors/scent,0.473735362291336,textual,False
15,sephora_2,product name,ulta_1,product name,0.4647291302680969,textual,True
16,sephora_1,Color,ulta_1,number of colors/scent,0.4429965019226074,textual,False
17,amazon_1,ID,ulta_1,number of colors/scent,0.4273443818092346,textual,False
18,sephora_2,_id,ulta_1,number of colors/scent,0.4262808859348297,numerical,False
19,sephora_1,Product_id,ulta_1,number of colors/scent,0.4053274393081665,numerical,False
20,amazon_1,Color,ulta_1,number of colors/scent,0.3866118788719177,textual,False
21,sephora_1,Color,sephora_2,price,0.3836970329284668,textual,False
22,amazon_1,Color,sephora_1,Price,0.3751873075962066,textual,False
23,sephora_2,price,ulta_1,number of colors/scent,0.3733741044998169,textual,False
24,amazon_1,Color,sephora_1,Product_id,0.3676306009292602,textual,False
25,sephora_1,Price,ulta_1,number of colors/scent,0.3625677824020386,textual,False
26,amazon_1,Price,sephora_2,price,0.339729368686676,mixed,True
27,sephora_1,Price,ulta_1,brand,0.3365947306156158,textual,False
28,sephora_2,brand,ulta_1,product name,0.3360783159732818,textual,False
29,amazon_1,Color,sephora_1,Color,0.3282662332057953,textual,True
30,sephora_1,Color,sephora_2,rating,0.3274976015090942,textual,False
31,sephora_2,number of colors,ulta_1,number of colors/scent,0.322079986333847,numerical,True
32,sephora_1,Price,sephora_2,rating,0.3171629011631012,mixed,False
33,amazon_1,Color,sephora_2,rating,0.3149498105049133,textual,False
34,amazon_1,Color,sephora_2,_id,0.312933087348938,textual,False
35,amazon_1,Color,sephora_2,price,0.3113787174224853,textual,False
36,sephora_2,rating,ulta_1,_id,0.3095889985561371,textual,False
37,amazon_1,Color,sephora_2,number of colors,0.3087608218193054,textual,False
38,sephora_1,Price,ulta_1,rating,0.3034118115901947,textual,False
39,amazon_1,Price,ulta_1,brand,0.2969153225421905,textual,False
40,sephora_1,Color,sephora_2,brand,0.2965999245643616,textual,False
41,sephora_1,Color,sephora_2,product name,0.2915436625480652,textual,False
42,amazon_1,Color,ulta_1,_id,0.285639613866806,textual,False
43,amazon_1,Description,ulta_1,brand,0.2800025045871734,textual,False
44,amazon_1,Description,sephora_2,product name,0.2763777077198028,textual,True
45,sephora_1,Price,sephora_2,number of colors,0.2743961811065674,textual,False
46,sephora_2,brand,ulta_1,brand,0.2707370519638061,textual,True
47,amazon_1,Price,ulta_1,number of colors/scent,0.2680523097515106,textual,False
48,amazon_1,Price,sephora_2,rating,0.2624196112155914,mixed,False
49,sephora_2,brand,ulta_1,_id,0.2623653709888458,textual,False
50,sephora_2,product name,ulta_1,rating,0.2614544928073883,textual,False
51,sephora_1,Product_id,sephora_2,price,0.2596989870071411,textual,False
52,amazon_1,Description,ulta_1,product name,0.2592268586158752,textual,True
