,table_a,column_a,table_b,column_b,similarity,type,correct
0,sephora_1,Price,sephora_2,price,0.9720117710570532,mixed,True
1,sephora_2,price,ulta_1,price,0.951479642888477,mixed,True
2,sephora_1,Price,ulta_1,price,0.947354800798738,mixed,True
3,amazon_1,Price,sephora_1,Price,0.9188469380999466,mixed,True
4,amazon_1,Price,sephora_2,price,0.9165491222500124,mixed,True
5,amazon_1,Price,ulta_1,price,0.910432625096184,mixed,True
6,sephora_2,number of colors,ulta_1,number of colors/scent,0.9056131950810046,numerical,True
7,sephora_2,_id,ulta_1,_id,0.8648799120769814,numerical,True
8,sephora_1,Product_id,ulta_1,_id,0.8466566892320677,numerical,True
9,sephora_2,product name,ulta_1,product name,0.8371537191081624,textual,True
10,sephora_1,Product_id,sephora_2,_id,0.8256034423033641,numerical,True
11,amazon_1,Description,sephora_1,Description,0.814836036688314,textual,True
12,sephora_1,Description,sephora_2,product name,0.8057222049681919,textual,True
13,sephora_1,Description,ulta_1,product name,0.8029725345141908,textual,True
14,amazon_1,Description,ulta_1,product name,0.8007493533455138,textual,True
15,amazon_1,Description,sephora_2,product name,0.7964863049348739,textual,True
16,sephora_2,brand,ulta_1,brand,0.7269199000416224,textual,True
17,amazon_1,ID,sephora_1,Product_id,0.6716014432280843,textual,True
18,amazon_1,ID,ulta_1,_id,0.6358113213727661,textual,True
19,amazon_1,ID,sephora_2,_id,0.6159427522294671,textual,True
20,sephora_2,rating,ulta_1,rating,0.5718938535470899,textual,True
21,ulta_1,brand,sephora_1,Color,0.5524617314876963,textual,False
22,sephora_1,Color,sephora_2,brand,0.5425142981402633,textual,False
23,amazon_1,Color,sephora_1,Color,0.5133016783604907,textual,True
24,sephora_2,number of colors,amazon_1,Color,0.4926700957546139,textual,False
25,amazon_1,Color,ulta_1,number of colors/scent,0.4650848099882714,textual,False
26,amazon_1,Color,sephora_2,brand,0.4436888682848683,textual,False
27,amazon_1,Color,ulta_1,brand,0.4396932167618748,textual,False
28,sephora_2,rating,ulta_1,number of colors/scent,0.3518194099459955,textual,False
29,amazon_1,Color,sephora_2,rating,0.3122449012546162,textual,False
30,sephora_2,number of colors,sephora_1,Color,0.2610735567892166,textual,False
31,amazon_1,Description,ulta_1,price,0.2491397740240628,textual,False
32,ulta_1,number of colors/scent,sephora_1,Color,0.2491360062462068,textual,False
33,amazon_1,Description,sephora_2,price,0.2456700350857011,textual,False
34,amazon_1,Description,sephora_1,Price,0.2429565429884614,textual,False
35,sephora_1,Color,sephora_2,rating,0.2416748833699743,textual,False
36,sephora_1,Description,ulta_1,price,0.2276133826240696,textual,False
37,sephora_1,Description,sephora_2,price,0.2245836278671924,textual,False
38,amazon_1,Price,sephora_1,Description,0.2196791344999039,textual,False
39,sephora_2,product name,ulta_1,price,0.2183919385547711,textual,False
40,sephora_2,price,ulta_1,product name,0.2159733327448423,textual,False
41,sephora_1,Price,ulta_1,product name,0.2135994020152075,textual,False
42,sephora_1,Price,sephora_2,product name,0.2123933286341197,textual,False
43,amazon_1,Price,ulta_1,product name,0.210547578845173,textual,False
44,amazon_1,Price,sephora_2,product name,0.2095360458309423,textual,False
45,sephora_1,Color,ulta_1,product name,0.2059917971631401,textual,False
46,sephora_1,Color,sephora_2,product name,0.2058708438046159,textual,False
47,sephora_1,Color,sephora_2,_id,0.1959593581336673,textual,False
48,sephora_1,Color,ulta_1,rating,0.1807718300627612,textual,False
49,amazon_1,ID,sephora_2,price,0.1760135879910308,mixed,False
50,amazon_1,ID,sephora_1,Price,0.1759913657910222,mixed,False
51,amazon_1,Description,sephora_1,Color,0.1756817928594151,textual,False
52,sephora_2,rating,ulta_1,brand,0.1733730677547189,textual,False
53,amazon_1,ID,ulta_1,price,0.1732175123546588,mixed,False
54,ulta_1,_id,sephora_1,Color,0.1724980974644162,textual,False
55,sephora_2,number of colors,ulta_1,brand,0.1695057129123977,textual,False
56,sephora_2,product name,ulta_1,brand,0.1686100582905991,textual,False
57,sephora_2,brand,ulta_1,number of colors/scent,0.1638990287822088,textual,False
58,sephora_2,_id,amazon_1,Color,0.159557779757698,textual,False
59,amazon_1,Price,sephora_1,Product_id,0.1576174510552199,textual,False
60,sephora_2,brand,ulta_1,rating,0.1560853495494391,textual,False
61,sephora_2,brand,ulta_1,_id,0.1530794317545087,textual,False
62,amazon_1,ID,sephora_2,brand,0.1514415248950539,textual,False
63,amazon_1,Price,ulta_1,_id,0.1514373726500696,textual,False
64,amazon_1,Price,sephora_2,_id,0.1501522528274289,textual,False
65,sephora_2,_id,ulta_1,brand,0.1491213426699381,textual,False
66,amazon_1,Color,ulta_1,rating,0.1488366063148111,textual,False
67,sephora_1,Description,ulta_1,brand,0.1469958545985306,textual,False
68,amazon_1,ID,ulta_1,brand,0.1467639440268149,textual,False
69,sephora_2,brand,ulta_1,product name,0.1422265398735087,textual,False
70,sephora_1,Product_id,sephora_2,brand,0.1417999351480848,textual,False
71,amazon_1,Description,ulta_1,brand,0.1411298858370998,textual,False
72,amazon_1,Color,ulta_1,_id,0.1410003973083302,textual,False
73,sephora_1,Product_id,ulta_1,rating,0.1409727156751016,numerical,False
74,sephora_2,_id,ulta_1,rating,0.1404630660499916,numerical,False
75,amazon_1,ID,sephora_1,Color,0.1399532626380304,textual,False
76,amazon_1,ID,ulta_1,rating,0.1394923634447732,textual,False
77,sephora_1,Product_id,sephora_2,price,0.1380789853881729,textual,False
78,sephora_1,Product_id,ulta_1,brand,0.1373769484121239,textual,False
79,sephora_1,Product_id,ulta_1,price,0.1357648777436824,textual,False
80,sephora_1,Price,ulta_1,_id,0.1326659957971591,textual,False
81,sephora_2,price,ulta_1,_id,0.1322941391907874,textual,False
82,sephora_1,Price,sephora_2,_id,0.1313496572437105,textual,False
83,sephora_2,_id,ulta_1,price,0.1289339733839558,textual,False
84,amazon_1,Color,ulta_1,product name,0.1262094855268503,textual,False
85,sephora_2,rating,ulta_1,_id,0.1261278247088257,textual,False
