,table_a,column_a,table_b,column_b,similarity,correct
0,metacritic_2,title,tmdb_1,title,0.415080177615969,True
1,metacritic_2,_id,walmart_1,_id,0.3882378234574175,True
2,metacritic_2,_id,tmdb_4,_id,0.3850023181092841,True
3,imdb_4,movie_rating,metacritic_2,movie_rating,0.3791715207115316,True
4,amazon_1,title,metacritic_2,title,0.3783331196439437,True
5,imdb_2,ID,tmdb_1,ID,0.364529253220526,True
6,imdb_2,year,tmdb_1,year,0.364529253220526,True
7,metacritic_2,_id,tmdb_2,_id,0.3626483101646174,True
8,metacritic_2,_id,metacritic_4,_id,0.3557660300343871,True
9,imdb_2,director,metacritic_4,director,0.3477277108086489,True
10,imdb_2,name,metacritic_4,name,0.3477277108086488,True
11,imdb_2,name,walmart_1,name,0.3449198104994209,True
12,amazon_1,director,imdb_2,director,0.3448035100733686,True
13,amazon_1,year,imdb_2,year,0.3439206028867175,True
14,amazon_1,title,tmdb_1,title,0.3390246427217951,True
15,amazon_1,year,tmdb_1,year,0.3381490454071543,True
16,metacritic_4,_id,walmart_1,_id,0.3321132817122097,True
17,imdb_2,year,tmdb_4,year,0.3274546752644897,True
18,metacritic_4,_id,tmdb_4,_id,0.3256004990827512,True
19,tmdb_4,_id,walmart_1,_id,0.3252020045754153,True
20,amazon_1,year,tmdb_4,year,0.3247647155403734,True
21,amazon_1,director,metacritic_4,director,0.3239546981269519,True
22,imdb_2,director,walmart_1,directors,0.3235360776276753,True
23,tmdb_1,year,tmdb_4,year,0.3233708525681977,True
24,roger_ebert_1,year,tmdb_1,year,0.3200011365353699,True
25,imdb_2,year,roger_ebert_1,year,0.3180837611287807,True
26,tmdb_4,directors,walmart_1,directors,0.3168407659235122,True
27,tmdb_4,stars,walmart_1,stars,0.3168407659235122,True
28,metacritic_4,name,walmart_1,name,0.3150728293903631,True
29,metacritic_4,genre,walmart_1,genre,0.3150728293903631,True
30,metacritic_4,duration,walmart_1,duration,0.3150728293903631,True
31,amazon_1,id,metacritic_2,_id,0.3149160776739715,True
32,tmdb_1,director(s),walmart_1,directors,0.3121448619388983,True
33,imdb_4,year,tmdb_1,year,0.311822176994609,True
34,imdb_2,actors,roger_ebert_1,actors,0.3099809869892592,True
35,tmdb_1,year,tmdb_2,year,0.3084889829279929,True
36,imdb_2,director,tmdb_4,directors,0.3078876374295378,True
37,metacritic_4,_id,tmdb_2,_id,0.3078612189248982,True
38,metacritic_1,_id,metacritic_2,_id,0.307535030095754,True
39,metacritic_1,ID,tmdb_1,ID,0.3071643488207968,True
40,amazon_1,year,tmdb_2,year,0.3066923443193102,True
41,tmdb_2,_id,walmart_1,_id,0.3051655394429026,True
42,amazon_1,id,imdb_4,id,0.3051233665966366,True
43,amazon_1,year,imdb_4,year,0.3051233665966366,True
44,imdb_2,ID,metacritic_1,ID,0.3042199437522231,True
45,imdb_2,actors,imdb_4,actors,0.3035266429541321,True
46,imdb_2,name,tmdb_2,name,0.3032372028608825,True
47,imdb_2,director,tmdb_2,director,0.3032372028608825,True
48,imdb_2,writers,tmdb_1,writer(s),0.303022507464954,True
49,imdb_2,year,imdb_4,year,0.3029718857315538,True
50,imdb_2,year,tmdb_2,year,0.3027330668702295,True
51,amazon_1,director,tmdb_2,director,0.3020612500444041,True
52,metacritic_4,name,tmdb_2,name,0.3004658843982496,True
53,metacritic_4,director,tmdb_2,director,0.3004658843982496,True
54,metacritic_2,_id,rotten_tomatoes_4,_id,0.3004650179226136,True
55,metacritic_2,_id,tmdb_3,_id,0.3001698204848217,True
56,imdb_4,directors,walmart_1,directors,0.3001021407291798,True
57,imdb_4,genre,walmart_1,genre,0.3001021407291798,True
58,imdb_4,duration,walmart_1,duration,0.3001021407291798,True
59,metacritic_2,release_year,walmart_1,release_date,0.2997946799704867,False
60,amazon_1,director,tmdb_4,directors,0.2995962071418871,True
61,metacritic_4,director,tmdb_1,director(s),0.2995418816664693,True
62,imdb_4,genre,metacritic_4,genre,0.2994476567660629,True
63,imdb_4,duration,metacritic_4,duration,0.2994476567660629,True
64,metacritic_2,title,tmdb_3,title,0.2980851079917503,True
65,tmdb_2,name,walmart_1,name,0.2978212612829112,True
66,tmdb_2,stars,walmart_1,stars,0.2978212612829112,True
67,imdb_2,actors,tmdb_1,actor(s),0.2977019022858528,True
68,metacritic_4,director,tmdb_4,directors,0.2976415594372974,True
