,precision,recall,f1_score,precision_at_10_percent,precision_at_30_percent,precision_at_50_percent,precision_at_70_percent,precision_at_90_percent,recall_at_sizeof_ground_truth
alite-bert-base-uncased-l2,0.9047619047619048,0.06859205776173286,0.12751677852348994,0.8,0.8,0.8333333333333334,0.8823529411764706,0.8409090909090909,0.07220216606498195
coma_schema,0.8241469816272966,0.5667870036101083,0.671657754010695,1.0,1.0,0.9198473282442748,0.8310626702997275,0.6822033898305084,0.5902527075812274
coma_schema_instance,0.8691588785046729,0.6714801444043321,0.7576374745417516,1.0,1.0,0.9586776859504132,0.9144542772861357,0.825287356321839,0.6823104693140795
cupid,0.8541666666666666,0.44404332129963897,0.5843230403800475,1.0,0.7244897959183674,0.4785276073619632,0.36257309941520466,0.2852272727272727,0.43501805054151627
deepjoin-all-mpnet-base-v2-coltotext-colname-stat-col-shuffle-0.1-epochs-10-bs-16-lr-2e-05-wd-0.01-warmup-10000,0.6396694214876033,0.6985559566787004,0.6678170836928388,0.4731494920174166,0.21770682148040638,0.1448896631823461,0.11055797552375025,0.08807872237457655,0.5324909747292419
distribution_based,0.8974358974358975,0.18953068592057762,0.3129657228017884,0.6153846153846154,0.7631578947368421,0.8571428571428571,0.8636363636363636,0.8761061946902655,0.19494584837545126
jaccard,0.895,0.3231046931407942,0.4748010610079576,0.76,0.9066666666666666,0.8951612903225806,0.838150289017341,0.7354260089686099,0.3231046931407942
similarity_flooding,0.6413223140495867,0.7003610108303249,0.6695427092320966,0.409288824383164,0.18964683115626513,0.1355587808417997,0.10823139125025917,0.08885663602644735,0.5
starmie-model_drop_head_cells_random_column_0-ft,0.7933884297520661,0.8664259927797834,0.828300258843831,0.7751277683134583,0.289937464468448,0.18014329580348004,0.1301169590643275,0.10348749052312357,0.8104693140794224
starmie-model_drop_head_cells_random_column_0,0.7950413223140496,0.868231046931408,0.8300258843830889,0.7969283276450512,0.29441913439635536,0.1797676008202324,0.130339272638516,0.10347446364154167,0.8194945848375451
valentwin-organogram-junior-n-100-hn-10-selective-neg-lr-3e5-bs-512-ep-10-emd-cnw-04-euc,0.8,0.8736462093862816,0.8352027610008629,0.6095791001451378,0.2544750846637639,0.15587808417997098,0.11217084801990462,0.0878890501532011,0.6841155234657039
