,precision,recall,f1_score,precision_at_10_percent,precision_at_30_percent,precision_at_50_percent,precision_at_70_percent,precision_at_90_percent,recall_at_sizeof_ground_truth
alite-bert-base-uncased-l2,0.8311688311688312,0.165374677002584,0.27586206896551724,0.7777777777777778,0.7407407407407407,0.7272727272727273,0.7419354838709677,0.7875,0.1834625322997416
coma_schema,0.9627507163323782,0.8682170542635659,0.9130434782608694,1.0,1.0,1.0,1.0,1.0,0.8682170542635659
coma_schema_instance,0.9510869565217391,0.9043927648578811,0.9271523178807947,1.0,1.0,1.0,1.0,0.9939759036144579,0.9043927648578811
cupid,0.8466666666666667,0.6563307493540051,0.7394468704512372,1.0,0.9385245901639344,0.6477832512315271,0.46397188049209137,0.36114911080711354,0.648578811369509
deepjoin-all-mpnet-base-v2-coltotext-colname-stat-col-shuffle-0.0-epochs-1-bs-16-lr-2e-05-wd-0.01-warmup-None,0.8063063063063063,0.9250645994832042,0.8616125150421179,0.6709323583180987,0.23583180987202926,0.14149908592321755,0.1010707756594411,0.07861060329067641,0.8656330749354005
distribution_based,0.8113207547169812,0.1111111111111111,0.19545454545454544,0.8333333333333334,0.8333333333333334,0.896551724137931,0.875,0.8076923076923077,0.11627906976744186
jaccard,0.7024390243902439,0.37209302325581395,0.48648648648648646,0.7857142857142857,0.7142857142857143,0.6642857142857143,0.6122448979591837,0.5873015873015873,0.4289405684754522
similarity_flooding,0.6283783783783784,0.7209302325581395,0.671480144404332,0.35648994515539306,0.1614868982327849,0.12541133455210238,0.09584747975972839,0.07739183424741011,0.4754521963824289
starmie-model_drop_nan_col_random_column_0-ft,0.715261958997722,0.8113695090439277,0.7602905569007264,0.6569506726457399,0.27204783258594917,0.1686855091969493,0.12243589743589743,0.09571286141575275,0.7131782945736435
starmie-model_drop_nan_col_random_column_0,0.7013574660633484,0.8010335917312662,0.7478890229191797,0.6629711751662971,0.2701702442635085,0.16748111950244335,0.12151015228426396,0.09526159921026653,0.7002583979328165
valentwin-restaurants-n-100-hn-10-selective-neg-lr-3e5-bs-512-emd-cnw-06-euc,0.7545045045045045,0.8656330749354005,0.806257521058965,0.6288848263254113,0.21694088970140157,0.13638025594149908,0.0995037868895273,0.07861060329067641,0.8708010335917312
