,table_a,column_a,table_b,column_b,similarity,type,correct
0,zomato_2,cuisine,zomato_3,Cuisine,0.8148397207260132,textual,True
1,yelp_5,Cuisine,zomato_2,cuisine,0.8144754767417908,textual,True
2,yelp_5,Name,zomato_3,Name,0.8050764203071594,textual,True
3,yelp_1,RATING,yelp_2,rating,0.8041493892669678,numerical,True
4,fodors_1,id,zagats_1,id,0.7985165119171143,numerical,True
5,yelp_5,Cuisine,zomato_3,Cuisine,0.7916880249977112,textual,True
6,yelp_2,ID,zomato_3,_id,0.7903493046760559,numerical,True
7,yelp_1,NAME,yelp_2,name,0.7836390137672424,textual,True
8,yelp_2,address,zomato_2,address,0.782920241355896,textual,True
9,yelp_2,name,zomato_2,name,0.7820093631744385,textual,True
10,yelp_2,ID,yelp_5,_id,0.7808615565299988,numerical,True
11,yellow_pages_2,name,yelp_2,name,0.7799592614173889,textual,True
12,yelp_5,_id,zomato_3,_id,0.772561252117157,numerical,True
13,yelp_2,cuisine,zomato_3,Cuisine,0.7600542306900024,textual,True
14,yelp_2,cuisine,zomato_2,cuisine,0.7558388710021973,textual,True
15,fodors_1,addr,zagats_1,addr,0.7479158043861389,textual,True
16,yelp_2,cuisine,yelp_5,Cuisine,0.7476351857185364,textual,True
17,yelp_1,NAME,zomato_2,name,0.7476210594177246,textual,True
18,zomato_2,ID,zomato_3,_id,0.746503472328186,numerical,True
19,zomato_2,name,zomato_3,Name,0.7444333434104919,textual,True
20,yelp_2,ID,zomato_2,ID,0.7441672086715698,numerical,True
21,yelp_2,address,zomato_3,Address,0.7434790730476379,textual,True
22,yellow_pages_2,id,yelp_2,ID,0.7384036779403687,numerical,True
23,yelp_2,name,zomato_3,Name,0.737145185470581,textual,True
24,yellow_pages_1,extra-phones,yelp_4,phone,0.7322818636894226,textual,True
25,yelp_1,ADDRESS,zomato_1,ADDRESS,0.7280339002609253,textual,True
26,yelp_1,NAME,zomato_3,Name,0.7254668474197388,textual,True
27,zomato_2,address,zomato_3,Address,0.7224034070968628,textual,True
28,yellow_pages_2,id,yelp_4,id,0.7204409241676331,numerical,True
29,yelp_5,Address,zomato_2,address,0.7194961309432983,textual,True
30,yelp_4,name,zomato_3,Name,0.7167981863021851,textual,True
31,yelp_4,name,yelp_5,Name,0.7166826725006104,textual,True
32,yelp_4,name,zomato_2,name,0.7158246636390686,textual,True
