,table_a,column_a,table_b,column_b,similarity,type,correct
0,yelp_2,cuisine,zomato_3,Cuisine,0.8763478398323059,textual,True
1,yelp_2,cuisine,zomato_2,cuisine,0.8713535070419312,textual,True
2,yelp_2,name,zomato_3,Name,0.8616110682487488,textual,True
3,yelp_2,ID,zomato_3,_id,0.8586066961288452,numerical,True
4,yellow_pages_1,name,yelp_3,name,0.8423612117767334,textual,True
5,zomato_2,address,zomato_3,Address,0.8154117465019226,textual,True
6,yelp_2,name,yelp_5,Name,0.8081550002098083,textual,True
7,yelp_1,RATING,yelp_2,rating,0.8053625822067261,numerical,True
8,yelp_5,Cuisine,zomato_3,Cuisine,0.8013269901275635,textual,True
9,yelp_2,rating,yelp_3,ratingValue,0.7983001470565796,numerical,True
10,yellow_pages_1,aka,yelp_2,cuisine,0.7959330081939697,textual,False
11,zomato_2,cuisine,zomato_3,Cuisine,0.7952842712402344,textual,True
12,yelp_2,cuisine,yelp_5,Cuisine,0.7892192006111145,textual,True
13,zomato_2,ID,zomato_3,_id,0.7866405248641968,numerical,True
14,fodors_1,id,zagats_1,id,0.7831385135650635,numerical,True
15,yelp_5,Address,zomato_2,address,0.7825896739959717,textual,True
16,yelp_2,ID,zomato_2,ID,0.7809368371963501,numerical,True
17,yelp_5,_id,zomato_3,_id,0.7736300230026245,numerical,True
18,yellow_pages_2,id,yelp_2,ID,0.7734431028366089,numerical,True
19,yelp_2,ID,yelp_5,_id,0.7695016860961914,numerical,True
20,yellow_pages_1,aka,zomato_3,Cuisine,0.7665117979049683,textual,False
21,yellow_pages_1,city,yelp_3,city,0.7628298997879028,textual,True
22,yellow_pages_1,id,yelp_3,id,0.7625638246536255,numerical,True
23,yelp_5,Cuisine,zomato_2,cuisine,0.7595288753509521,textual,True
24,yellow_pages_2,name,yelp_2,name,0.7562490701675415,textual,True
25,yelp_2,phone,zomato_2,phone,0.7550101280212402,mixed,True
26,zomato_1,PHONENUMBER,zomato_2,phone,0.748611330986023,mixed,True
27,yelp_5,Name,zomato_3,Name,0.7477837800979614,textual,True
28,yellow_pages_2,id,zomato_3,_id,0.7429335117340088,numerical,True
29,yelp_1,PHONENUMBER,zomato_2,phone,0.7425047159194946,mixed,True
30,yelp_2,address,zomato_2,address,0.7286123037338257,textual,True
31,yellow_pages_2,id,yelp_5,_id,0.7270252108573914,numerical,True
32,yellow_pages_2,id,zomato_2,ID,0.7267300486564636,numerical,True
33,yelp_2,phone,yelp_4,phone,0.7262173891067505,mixed,True
