,precision,recall,f1_score,precision_at_10_percent,precision_at_30_percent,precision_at_50_percent,precision_at_70_percent,precision_at_90_percent,recall_at_sizeof_ground_truth
alite-bert-base-uncased-l2,0.36585365853658536,0.046012269938650305,0.08174386920980926,0.4,0.20689655172413793,0.2916666666666667,0.31343283582089554,0.29069767441860467,0.07975460122699386
coma_schema,0.9245283018867925,0.6012269938650306,0.728624535315985,1.0,1.0,1.0,0.9828571428571429,0.88,0.6104294478527608
coma_schema_instance,0.9055793991416309,0.647239263803681,0.7549194991055457,1.0,1.0,0.9924812030075187,0.9946524064171123,0.8666666666666667,0.6595092024539877
cupid,0.9289099526066351,0.6012269938650306,0.7299813780260709,0.8209606986899564,0.2905109489051095,0.17425569176882663,0.12570356472795496,0.09781021897810219,0.6104294478527608
deepjoin-all-mpnet-base-v2-coltotext-colname-col-shuffle-0.1-epochs-1-bs-16-lr-2e-05-wd-0.01-warmup-10000,0.6608695652173913,0.6993865030674846,0.6795827123695976,0.1358515573227303,0.05478241661144246,0.03803843605036448,0.029442393259490676,0.02385685884691849,0.5460122699386503
distribution_based,0.30288461538461536,0.19325153374233128,0.23595505617977527,0.1144578313253012,0.18072289156626506,0.1652593486127865,0.1456896551724138,0.11997319034852547,0.15030674846625766
jaccard,0.26517571884984026,0.254601226993865,0.25978090766823164,0.15517241379310345,0.12561576354679804,0.10448496796451454,0.09295774647887324,0.07776560788608981,0.15644171779141106
similarity_flooding,0.6115942028985507,0.647239263803681,0.6289120715350225,0.1390728476821192,0.054758224773680725,0.037890832008479064,0.029525882464275576,0.0235536581775357,0.5429447852760736
starmie-model_sample_row_alphaHead_column_0-ft,0.6782608695652174,0.7177914110429447,0.6974664679582713,0.26420454545454547,0.10012634238787113,0.06122062168309325,0.04372546365236226,0.034116036643150466,0.6073619631901841
starmie-model_sample_row_alphaHead_column_0,0.7304347826086957,0.7730061349693251,0.7511177347242921,0.2694151486097795,0.1010230179028133,0.06176865528486476,0.0441216771718279,0.03431738250026644,0.6595092024539877
valentwin-school_report-n-100-hn-10-selective-neginter-lr-3e5-bs-512-ep-10-cos-cnw-06-euc,0.6985507246376812,0.7392638036809815,0.7183308494783904,0.14389920424403183,0.06984969053934571,0.042313304151744266,0.03050975933295433,0.023949889462048637,0.5429447852760736
