,table_a,column_a,table_b,column_b,similarity,correct
0,stockport_contracts_0,unnamed1,stockport_contracts_1,Client,1.0,True
1,stockport_contracts_0,unnamed1,stockport_contracts_10,Client,1.0,True
2,stockport_contracts_0,unnamed1,stockport_contracts_11,nan1,1.0,True
3,stockport_contracts_0,unnamed1,stockport_contracts_2,Client,1.0,True
4,stockport_contracts_0,unnamed1,stockport_contracts_3,Client,1.0,True
5,stockport_contracts_0,unnamed9,stockport_contracts_3,Ext. Applied to Contract,1.0,True
6,stockport_contracts_0,unnamed1,stockport_contracts_5,Client Name,1.0,True
7,stockport_contracts_0,unnamed1,stockport_contracts_6,Client,1.0,True
8,stockport_contracts_0,unnamed9,stockport_contracts_6,Ext. Applied to Contract,1.0,True
9,stockport_contracts_0,unnamed1,stockport_contracts_7,Client,1.0,True
10,stockport_contracts_0,unnamed1,stockport_contracts_8,Client,1.0,True
11,stockport_contracts_0,unnamed1,stockport_contracts_9,Client,1.0,True
12,stockport_contracts_1,Client,stockport_contracts_10,Client,1.0,True
13,stockport_contracts_1,Client,stockport_contracts_11,nan1,1.0,True
14,stockport_contracts_1,Client,stockport_contracts_2,Client,1.0,True
15,stockport_contracts_1,Client,stockport_contracts_3,Client,1.0,True
16,stockport_contracts_1,Maximum Extend Date,stockport_contracts_3,Ext. Applied to Contract,1.0,False
17,stockport_contracts_1,Contract Term (Months),stockport_contracts_3,Ext. Applied to Contract,1.0,False
18,stockport_contracts_1,Estimated Total Value,stockport_contracts_3,Ext. Applied to Contract,1.0,False
19,stockport_contracts_1,Contract Start Date,stockport_contracts_3,Ext. Applied to Contract,1.0,False
20,stockport_contracts_1,Ext. Applied to Contract,stockport_contracts_3,Ext. Applied to Contract,1.0,True
21,stockport_contracts_1,Contract End Date,stockport_contracts_3,Ext. Applied to Contract,1.0,False
22,stockport_contracts_1,Estimated Annual Value,stockport_contracts_3,Ext. Applied to Contract,1.0,False
23,stockport_contracts_1,Maximum Duration of Contract (Months),stockport_contracts_3,Ext. Applied to Contract,1.0,False
24,stockport_contracts_1,unnamed,stockport_contracts_3,Council Directorate,1.0,True
25,stockport_contracts_1,Client,stockport_contracts_5,Client Name,1.0,True
26,stockport_contracts_1,Client,stockport_contracts_6,Client,1.0,True
27,stockport_contracts_1,Ext. Applied to Contract,stockport_contracts_6,Contract Start Date,1.0,False
28,stockport_contracts_1,Ext. Applied to Contract,stockport_contracts_6,Maximum Duration of Contract (Months),1.0,False
29,stockport_contracts_1,Client,stockport_contracts_7,Client,1.0,True
30,stockport_contracts_1,Client,stockport_contracts_8,Client,1.0,True
31,stockport_contracts_1,Client,stockport_contracts_9,Client,1.0,True
32,stockport_contracts_10,Client,stockport_contracts_11,nan1,1.0,True
33,stockport_contracts_10,Client,stockport_contracts_2,Client,1.0,True
34,stockport_contracts_10,Client,stockport_contracts_3,Client,1.0,True
35,stockport_contracts_10,Client,stockport_contracts_5,Client Name,1.0,True
36,stockport_contracts_10,Client,stockport_contracts_6,Client,1.0,True
37,stockport_contracts_10,Client,stockport_contracts_7,Client,1.0,True
38,stockport_contracts_10,Ext. Applied to Contract,stockport_contracts_7,Ext. Applied to Contract,1.0,True
39,stockport_contracts_10,Client,stockport_contracts_8,Client,1.0,True
40,stockport_contracts_10,Client,stockport_contracts_9,Client,1.0,True
41,stockport_contracts_11,nan1,stockport_contracts_2,Client,1.0,True
42,stockport_contracts_11,nan1,stockport_contracts_3,Client,1.0,True
43,stockport_contracts_11,nan1,stockport_contracts_5,Client Name,1.0,True
44,stockport_contracts_11,nan1,stockport_contracts_6,Client,1.0,True
45,stockport_contracts_11,nan1,stockport_contracts_7,Client,1.0,True
