,table_a,column_a,table_b,column_b,similarity,type,correct
0,stockport_contracts_1,unnamed,stockport_contracts_2,Council Directorate,0.9190660715103148,textual,True
1,stockport_contracts_11,nan19,stockport_contracts_2,Council Directorate,0.9034320116043092,textual,True
2,stockport_contracts_1,unnamed,stockport_contracts_11,nan19,0.899966299533844,textual,True
3,stockport_contracts_1,Pro Class,stockport_contracts_2,Pro Class,0.8943080902099609,textual,True
4,stockport_contracts_1,unnamed,stockport_contracts_3,Council Directorate,0.8927680850028992,textual,True
5,stockport_contracts_1,Client,stockport_contracts_3,Client,0.889267086982727,textual,True
6,stockport_contracts_2,Council Directorate,stockport_contracts_3,Council Directorate,0.8889991044998169,textual,True
7,stockport_contracts_11,nan19,stockport_contracts_3,Council Directorate,0.8886774182319641,textual,True
8,stockport_contracts_1,Registered Number,stockport_contracts_2,Registered Number,0.8867083787918091,mixed,True
9,stockport_contracts_7,Client,stockport_contracts_8,Client,0.8862636089324951,textual,True
10,stockport_contracts_11,nan8,stockport_contracts_6,Maximum Duration of Contract (Months),0.8857739567756653,numerical,True
11,stockport_contracts_2,Council Directorate,stockport_contracts_7,Council Directorate,0.8855463266372681,textual,True
12,stockport_contracts_3,Review Date,stockport_contracts_6,Review Date,0.8853158950805664,textual,True
13,stockport_contracts_1,Contract Title,stockport_contracts_2,Contract Title,0.884707510471344,textual,True
14,stockport_contracts_3,Maximum Duration of Contract (Months),stockport_contracts_6,Maximum Duration of Contract (Months),0.8843786716461182,numerical,True
15,stockport_contracts_3,Council Directorate,stockport_contracts_7,Council Directorate,0.8841093182563782,textual,True
16,stockport_contracts_2,Contract End Date,stockport_contracts_6,Contract End Date,0.8823474645614624,textual,True
17,stockport_contracts_0,unnamed0,stockport_contracts_8,UID,0.8818902969360352,numerical,True
18,stockport_contracts_1,Maximum Duration of Contract (Months),stockport_contracts_6,Maximum Duration of Contract (Months),0.8811637163162231,numerical,True
19,stockport_contracts_0,unnamed18,stockport_contracts_8,Council Directorate,0.8809878826141357,textual,True
20,stockport_contracts_1,unnamed,stockport_contracts_5,Council Directorate,0.8805389404296875,textual,True
21,stockport_contracts_1,Estimated Annual Value,stockport_contracts_2,Estimated Annual Value,0.8804593682289124,mixed,True
22,stockport_contracts_8,Council Directorate,stockport_contracts_9,Council Directorate,0.8799108266830444,textual,True
23,stockport_contracts_2,Council Directorate,stockport_contracts_5,Council Directorate,0.8795084953308105,textual,True
24,stockport_contracts_5,Estimated Annual Value,stockport_contracts_6,Estimated Annual Value,0.875927209854126,mixed,True
25,stockport_contracts_11,nan19,stockport_contracts_8,Council Directorate,0.8746936917304993,textual,True
